,lat,lon,DXYP__
313,-86.0,-117.5,4317651500.0
314,-86.0,-115.0,4317651500.0
315,-86.0,-112.5,4317651500.0
316,-86.0,-110.0,4317651500.0
317,-86.0,-107.5,4317651500.0
318,-86.0,-105.0,4317651500.0
319,-86.0,-102.5,4317651500.0
320,-86.0,-100.0,4317651500.0
321,-86.0,-97.5,4317651500.0
322,-86.0,-95.0,4317651500.0
323,-86.0,-92.5,4317651500.0
324,-86.0,-90.0,4317651500.0
325,-86.0,-87.5,4317651500.0
326,-86.0,-85.0,4317651500.0
327,-86.0,-82.5,4317651500.0
328,-86.0,-80.0,4317651500.0
329,-86.0,-77.5,4317651500.0
330,-86.0,-75.0,4317651500.0
331,-86.0,-72.5,4317651500.0
332,-86.0,-70.0,4317651500.0
333,-86.0,-67.5,4317651500.0
334,-86.0,-65.0,4317651500.0
335,-86.0,-62.5,4317651500.0
336,-86.0,-60.0,4317651500.0
337,-86.0,-57.5,4317651500.0
338,-86.0,-55.0,4317651500.0
339,-86.0,-52.5,4317651500.0
340,-86.0,-50.0,4317651500.0
341,-86.0,-47.5,4317651500.0
342,-86.0,-45.0,4317651500.0
343,-86.0,-42.5,4317651500.0
344,-86.0,-40.0,4317651500.0
345,-86.0,-37.5,4317651500.0
346,-86.0,-35.0,4317651500.0
347,-86.0,-32.5,4317651500.0
348,-86.0,-30.0,4317651500.0
349,-86.0,-27.5,4317651500.0
350,-86.0,-25.0,4317651500.0
351,-86.0,-22.5,4317651500.0
352,-86.0,-20.0,4317651500.0
353,-86.0,-17.5,4317651500.0
354,-86.0,-15.0,4317651500.0
355,-86.0,-12.5,4317651500.0
356,-86.0,-10.0,4317651500.0
357,-86.0,-7.5,4317651500.0
358,-86.0,-5.0,4317651500.0
359,-86.0,-2.5,4317651500.0
360,-86.0,0.0,4317651500.0
361,-86.0,2.5,4317651500.0
362,-86.0,5.0,4317651500.0
363,-86.0,7.5,4317651500.0
364,-86.0,10.0,4317651500.0
365,-86.0,12.5,4317651500.0
366,-86.0,15.0,4317651500.0
367,-86.0,17.5,4317651500.0
368,-86.0,20.0,4317651500.0
369,-86.0,22.5,4317651500.0
370,-86.0,25.0,4317651500.0
371,-86.0,27.5,4317651500.0
372,-86.0,30.0,4317651500.0
373,-86.0,32.5,4317651500.0
374,-86.0,35.0,4317651500.0
375,-86.0,37.5,4317651500.0
376,-86.0,40.0,4317651500.0
377,-86.0,42.5,4317651500.0
378,-86.0,45.0,4317651500.0
379,-86.0,47.5,4317651500.0
380,-86.0,50.0,4317651500.0
381,-86.0,52.5,4317651500.0
